,TIPO
2,CURSOS
3,META
4,TIKTOK
7,OPORTUNIDADES
8,GENERICA
9,MARCAS
12,MICROSOFT
14,PMAX
23,SEARCH
25,GENERICA
26,PMAX
28,MICROSOFT
29,DEMAND GEN
30,MARCAS
31,META
33,CURSOS
37,OPORTUNIDADES
46,META
48,MARCAS
49,MICROSOFT
51,TIKTOK
52,CURSOS
53,SEARCH
54,OPORTUNIDADES
55,PMAX
56,META
57,GENERICA
59,META
60,OPORTUNIDADES
61,MARCAS
66,PMAX
67,CURSOS
68,GENERICA
70,DV360
71,MICROSOFT
73,DEMAND GEN
77,SEARCH
79,PMAX
80,CURSOS
81,DV360
85,META
86,SEARCH
88,GENERICA
89,MICROSOFT
90,DEMAND GEN
91,MARCAS
92,TIKTOK
94,OPORTUNIDADES
95,DEMAND GEN
98,META
99,MARCAS
100,CURSOS
103,PMAX
104,META
105,TIKTOK
107,MICROSOFT
108,DV360
109,SEARCH
110,SEARCH
112,DEMAND GEN
113,OPORTUNIDADES
117,GENERICA
119,PMAX
121,SEARCH
124,OPORTUNIDADES
126,MARCAS
130,META
132,GENERICA
133,MICROSOFT
139,CURSOS
140,META
143,SEARCH
145,CURSOS
147,PMAX
149,MARCAS
150,DEMAND GEN
151,SEARCH
152,TIKTOK
157,MICROSOFT
158,OPORTUNIDADES
159,GENERICA
160,PMAX
164,DEMAND GEN
165,CURSOS
166,DEMAND GEN
167,GENERICA
168,MICROSOFT
169,SEARCH
172,SEARCH
173,TIKTOK
174,META
175,OPORTUNIDADES
176,MARCAS
180,CURSOS
182,PMAX
183,META
185,DEMAND GEN
186,GENERICA
189,MARCAS
191,TIKTOK
193,MICROSOFT
195,DEMAND GEN
199,OPORTUNIDADES
200,DEMAND GEN
201,TIKTOK
203,MARCAS
205,OPORTUNIDADES
208,GENERICA
209,META
211,CURSOS
212,PMAX
213,MICROSOFT
215,SEARCH
217,DEMAND GEN
218,META
221,META
224,OPORTUNIDADES
226,PMAX
228,TIKTOK
231,TIKTOK
232,MARCAS
234,DEMAND GEN
235,META
236,MICROSOFT
237,CURSOS
239,OPORTUNIDADES
241,GENERICA
242,MICROSOFT
245,META
246,MARCAS
248,MICROSOFT
250,CURSOS
252,PMAX
253,META
254,DEMAND GEN
257,OPORTUNIDADES
258,OPORTUNIDADES
259,SEARCH
260,TIKTOK
262,GENERICA
263,DEMAND GEN
265,GENERICA
266,CURSOS
267,MICROSOFT
268,SEARCH
269,PMAX
271,TIKTOK
