,DATA,GRUPO,TIPO,ETAPA,TOTAL_IMPRESSOES,TOTAL_CLIQUES,TOTAL_CUSTO,TOTAL_SESSAO,TOTAL_INSCRICOES,TOTAL_MATRICULADOS,LEADS,CTR,CR,CPS,TX_LEADS,TX_INSCRITOS,CPI,TX_MATRICULADOS,CPMAT,CPA
2,2025-02-01,SEARCH,CURSOS,FUNDO,284606,18839,88262.36459700005,15096,319,37,1367,0.06619326366977506,0.8013164180688996,5.846738513314789,0.09055378908320084,0.02113142554319025,276.6845285172415,0.11598746081504702,2385.469313432434,52.35015693772245
3,2025-02-01,META,META,FUNDO,18852512,82550,181402.22000499998,34592,422,8,2032,0.004378726824308612,0.41904300423985463,5.244051225861471,0.05874190564292322,0.012199352451433857,429.8630805805687,0.018957345971563982,22675.277500624998,73.92103504686226
4,2025-02-01,TIKTOK,TIKTOK,FUNDO,1043233,2784,5460.590000000004,1908,6,1,22,0.002668627238593871,0.6853448275862069,2.8619444444444464,0.011530398322851153,0.0031446540880503146,910.0983333333339,0.16666666666666666,5460.590000000004,195.02107142857156
7,2025-02-01,SEARCH,OPORTUNIDADES,FUNDO,42184,1938,7225.607133999999,2254,52,2,280,0.04594158922814337,1.1630546955624355,3.2056819582963616,0.12422360248447205,0.023070097604259095,138.95398334615382,0.038461538461538464,3612.8035669999995,21.76387690963855
8,2025-02-01,SEARCH,GENERICA,FUNDO,98242,6241,20606.697137,5442,85,12,518,0.0635268011644714,0.8719756449286973,3.786603663542815,0.09518559353178978,0.01561925762587284,242.4317310235294,0.1411764705882353,1717.2247614166665,34.17362709286899
9,2025-02-01,SEARCH,MARCAS,FUNDO,48634,18353,32867.103786,16605,473,8,2312,0.37736974133322365,0.9047567155233477,1.9793498214995484,0.13923517012947909,0.028485395965070763,69.48647734883721,0.016913319238900635,4108.38797325,11.80147353177738
12,2025-02-01,SEARCH,MICROSOFT,FUNDO,68931,2780,10922.14,2286,72,6,349,0.04033018525772149,0.8223021582733813,4.777839020122484,0.15266841644794402,0.031496062992125984,151.6963888888889,0.08333333333333333,1820.3566666666666,25.94332541567696
14,2025-02-01,PMAX,PMAX,FUNDO,2159368,46619,95300.397599,23755,256,3,1177,0.021589187206627124,0.5095561895364551,4.011803729699011,0.049547463691854345,0.010776678593980215,372.26717812109376,0.01171875,31766.799199666668,66.50411556106071
23,2025-01-31,SEARCH,SEARCH,MEIO,53062,3507,5988.536665,2127,4,1,54,0.06609249557121857,0.6065012831479898,2.815485032910202,0.02538787023977433,0.0018805829807240243,1497.13416625,0.25,5988.536665,1.7075952851439977
25,2025-01-31,SEARCH,GENERICA,FUNDO,137477,8269,29261.025013000002,7628,131,16,779,0.060148242978825546,0.922481557624864,3.836002230335606,0.10212375458835868,0.017173571054011537,223.3666031526718,0.12213740458015267,1828.8140633125001,32.15497254175824
26,2025-01-31,PMAX,PMAX,FUNDO,2747777,69008,138842.221463,32024,405,5,1829,0.025114119522799704,0.4640621377231625,4.335567744910067,0.0571134149387959,0.012646764926305272,342.82029990864197,0.012345679012345678,27768.444292599997,62.14960674261414
28,2025-01-31,SEARCH,MICROSOFT,FUNDO,144455,5601,24485.53,4683,95,5,651,0.03877332041120072,0.8361006963042313,5.2285991885543455,0.13901345291479822,0.020286141362374548,257.7424210526316,0.05263157894736842,4897.106,32.82242627345844
29,2025-01-31,DEMAND GEN,DEMAND GEN,FUNDO,812536,15306,12222.445898,1438,8,1,43,0.018837319208010475,0.0939500849340128,8.499614671766341,0.029902642559109873,0.005563282336578581,1527.80573725,0.125,12222.445898,239.65580192156864
30,2025-01-31,SEARCH,MARCAS,FUNDO,80924,29786,60294.11735799999,27456,771,8,3807,0.36807374820819533,0.9217753306922716,2.1960270016754073,0.13865821678321677,0.028081293706293708,78.20248684565497,0.010376134889753566,7536.764669749999,13.17040571384884
31,2025-01-31,META,META,FUNDO,19399469,84111,229909.87000799997,34994,410,8,2077,0.004335737230745852,0.4160454637324488,6.569979711036177,0.059353031948334,0.011716294221866605,560.755780507317,0.01951219512195122,28738.733750999996,92.44466023642941
33,2025-01-31,SEARCH,CURSOS,FUNDO,407425,24970,132510.764246,20062,405,38,2028,0.06128735350064429,0.8034441329595514,6.605062518492673,0.10108663144252816,0.0201874190010966,327.1870722123457,0.09382716049382717,3487.125374894737,54.46393927085902
37,2025-01-31,SEARCH,OPORTUNIDADES,FUNDO,66899,2975,11631.274751,3322,71,4,403,0.04447002197342262,1.1166386554621848,3.501286800421433,0.12131246237206503,0.021372667068031308,163.8207711408451,0.056338028169014086,2907.81868775,24.53855432700422
46,2025-01-30,META,META,TOPO,2954891,8665,16449.81,2394,1,1,1,0.0029324262722381297,0.27628390075014425,6.8712656641604015,0.0004177109440267335,0.0004177109440267335,16449.81,1.0,16449.81,5.566976920637682e-06
48,2025-01-30,SEARCH,MARCAS,FUNDO,91672,33896,65737.486087,33265,993,7,4762,0.3697530325508334,0.9813842341279208,1.9761757428829099,0.143153464602435,0.029851194949646775,66.20089233333333,0.007049345417925478,9391.069441,11.422673516420504
49,2025-01-30,SEARCH,MICROSOFT,FUNDO,205234,5913,23627.06,5598,128,6,787,0.02881101571864311,0.9467275494672754,4.220625223294034,0.1405859235441229,0.022865309038942478,184.58640625,0.046875,3937.8433333333337,25.82192349726776
51,2025-01-30,TIKTOK,TIKTOK,FUNDO,1283564,13575,9414.490000000002,8044,4,1,32,0.010576021141135152,0.5925598526703499,1.1703741919443065,0.003978120338140228,0.0004972650422675286,2353.6225000000004,0.25,9414.490000000002,261.5136111111112
52,2025-01-30,SEARCH,CURSOS,FUNDO,322466,19277,104008.65596799998,17470,393,47,1913,0.05977994579273474,0.9062613477200809,5.953557868803662,0.10950200343445907,0.02249570692615913,264.6530686208651,0.11959287531806616,2212.950126978723,45.103493481352984
53,2025-01-30,SEARCH,SEARCH,MEIO,71707,4948,9096.241583,3145,10,1,83,0.06900302620385737,0.6356103476151981,2.8922866718600955,0.026391096979332274,0.003179650238473768,909.6241583000001,0.1,9096.241583,1.8383673369037996
54,2025-01-30,SEARCH,OPORTUNIDADES,FUNDO,63456,3090,10991.197081,3888,85,3,485,0.048695158850226926,1.258252427184466,2.8269539817386833,0.12474279835390946,0.021862139917695474,129.30820095294118,0.03529411764705882,3663.7323603333334,19.28280189649123
55,2025-01-30,PMAX,PMAX,FUNDO,8315553,342697,218966.094722,137490,544,8,2650,0.04121157065561364,0.4011998937837215,1.5925965140882974,0.01927412902756564,0.003956651392828569,402.51120353308823,0.014705882352941176,27370.76184025,68.55544606199123
