DATA,GRUPO,TIPO,ETAPA,TOTAL_IMPRESSOES,TOTAL_CLIQUES,TOTAL_CUSTO,TOTAL_SESSAO,TOTAL_INSCRICOES,TOTAL_MATRICULADOS,LEADS,CTR,CR,CPS,TX_LEADS,TX_INSCRITOS,CPI,TX_MATRICULADOS,CPMAT,CPA
2025-02-01,SEARCH,DV360,MEIO,2434130,169966,9980.433696000002,136,0,0,0,0.0698261801957989,0.0008001600320064013,73.38554188235295,0.0,0.0,,,,0.05872017754139064
2025-02-01,TIKTOK,TIKTOK,TOPO,1101514,2828,4409.12,591,0,0,2,0.002567375448700607,0.20898161244695898,7.4604399323181045,0.00338409475465313,0.0,,,,4.002781626016555e-06
2025-02-01,SEARCH,CURSOS,FUNDO,284606,18839,88262.36459700005,15096,319,37,1367,0.06619326366977506,0.8013164180688996,5.846738513314789,0.09055378908320084,0.02113142554319025,276.6845285172415,0.11598746081504702,2385.469313432434,52.35015693772245
2025-02-01,META,META,FUNDO,18852512,82550,181402.22000499998,34592,422,8,2032,0.004378726824308612,0.41904300423985463,5.244051225861471,0.05874190564292322,0.012199352451433857,429.8630805805687,0.018957345971563982,22675.277500624998,73.92103504686226
2025-02-01,TIKTOK,TIKTOK,FUNDO,1043233,2784,5460.590000000004,1908,6,1,22,0.002668627238593871,0.6853448275862069,2.8619444444444464,0.011530398322851153,0.0031446540880503146,910.0983333333339,0.16666666666666666,5460.590000000004,195.02107142857156
2025-02-01,DEMAND GEN,DEMAND GEN,FUNDO,690484,9910,12942.093476,1127,2,0,23,0.014352251464190335,0.11372351160443996,11.48366768056788,0.02040816326530612,0.001774622892635315,6471.046738,0.0,,517.68373904
2025-02-01,DEMAND GEN,DEMAND GEN,MEIO,171029,3179,2509.224073,817,0,0,11,0.0185874910102965,0.2569990563070148,3.071265695226438,0.01346389228886169,0.0,,,,0.7893123853413022
2025-02-01,SEARCH,OPORTUNIDADES,FUNDO,42184,1938,7225.607133999999,2254,52,2,280,0.04594158922814337,1.1630546955624355,3.2056819582963616,0.12422360248447205,0.023070097604259095,138.95398334615382,0.038461538461538464,3612.8035669999995,21.76387690963855
2025-02-01,SEARCH,GENERICA,FUNDO,98242,6241,20606.697137,5442,85,12,518,0.0635268011644714,0.8719756449286973,3.786603663542815,0.09518559353178978,0.01561925762587284,242.4317310235294,0.1411764705882353,1717.2247614166665,34.17362709286899
2025-02-01,SEARCH,MARCAS,FUNDO,48634,18353,32867.103786,16605,473,8,2312,0.37736974133322365,0.9047567155233477,1.9793498214995484,0.13923517012947909,0.028485395965070763,69.48647734883721,0.016913319238900635,4108.38797325,11.80147353177738
2025-02-01,META,META,MEIO,5608771,134845,51077.41000099999,78191,0,0,5,0.024041808802677093,0.579858355890096,0.653238991712601,6.394597843741607e-05,0.0,,,,0.3787860877377729
